"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0세","2025년10월_계_1세","2025년10월_계_2세","2025년10월_계_3세","2025년10월_계_4세","2025년10월_계_5세","2025년10월_계_6세","2025년10월_계_7세","2025년10월_계_8세","2025년10월_계_9세","2025년10월_계_10세","2025년10월_계_11세","2025년10월_계_12세","2025년10월_계_13세","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0세","2025년10월_남_1세","2025년10월_남_2세","2025년10월_남_3세","2025년10월_남_4세","2025년10월_남_5세","2025년10월_남_6세","2025년10월_남_7세","2025년10월_남_8세","2025년10월_남_9세","2025년10월_남_10세","2025년10월_남_11세","2025년10월_남_12세","2025년10월_남_13세","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0세","2025년10월_여_1세","2025년10월_여_2세","2025년10월_여_3세","2025년10월_여_4세","2025년10월_여_5세","2025년10월_여_6세","2025년10월_여_7세","2025년10월_여_8세","2025년10월_여_9세","2025년10월_여_10세","2025년10월_여_11세","2025년10월_여_12세","2025년10월_여_13세"
"경기도 광주시 (4161000000)","397,502","41,977","2,041","2,114","2,164","2,401","2,476","2,665","2,870","3,142","3,270","3,768","3,835","3,761","3,564","3,906","202,511","21,512","1,031","1,078","1,118","1,229","1,244","1,376","1,466","1,611","1,649","1,965","1,997","1,930","1,784","2,034","194,991","20,465","1,010","1,036","1,046","1,172","1,232","1,289","1,404","1,531","1,621","1,803","1,838","1,831","1,780","1,872"
"경기도 광주시 초월읍(4161025300)","52,203","5,229","305","324","305","313","359","313","371","365","376","417","396","458","404","523","27,011","2,752","154","180","165","163","195","159","203","186","196","227","216","246","182","280","25,192","2,477","151","144","140","150","164","154","168","179","180","190","180","212","222","243"
"경기도 광주시 곤지암읍(4161025900)","21,177","1,322","45","55","71","65","84","74","88","100","104","122","130","127","115","142","11,460","702","25","32","45","39","42","39","42","55","53","65","68","62","64","71","9,717","620","20","23","26","26","42","35","46","45","51","57","62","65","51","71"
"경기도 광주시 도척면(4161033000)","8,977","468","25","22","18","39","22","27","29","20","33","39","41","46","59","48","4,939","245","11","14","8","21","14","13","14","11","19","20","23","24","29","24","4,038","223","14","8","10","18","8","14","15","9","14","19","18","22","30","24"
"경기도 광주시 퇴촌면(4161034000)","15,530","1,119","33","37","39","45","48","48","63","72","84","117","117","143","128","145","7,852","555","18","15","20","23","16","32","29","38","40","51","57","76","64","76","7,678","564","15","22","19","22","32","16","34","34","44","66","60","67","64","69"
"경기도 광주시 남종면(4161035000)","1,373","19","0","2","0","0","0","0","0","0","2","3","1","4","5","2","733","14","0","1","0","0","0","0","0","0","2","2","0","2","5","2","640","5","0","1","0","0","0","0","0","0","0","1","1","2","0","0"
"경기도 광주시 남한산성면(4161037000)","2,175","169","1","3","3","4","5","8","14","14","19","18","30","16","21","13","1,122","88","0","2","1","0","2","4","7","7","13","9","21","6","10","6","1,053","81","1","1","2","4","3","4","7","7","6","9","9","10","11","7"
"경기도 광주시 경안동(4161051000)","28,072","3,203","159","187","173","180","177","214","227","251","264","270","310","249","262","280","14,378","1,686","84","86","88","98","102","109","120","135","126","153","160","133","130","162","13,694","1,517","75","101","85","82","75","105","107","116","138","117","150","116","132","118"
"경기도 광주시 송정동(4161052000)","23,016","2,108","95","124","98","131","117","129","165","143","160","193","169","187","180","217","11,622","1,070","53","65","57","78","55","63","85","75","82","93","77","100","90","97","11,394","1,038","42","59","41","53","62","66","80","68","78","100","92","87","90","120"
"경기도 광주시 쌍령동(4161054000)","17,288","1,869","90","93","98","98","105","122","115","147","152","172","193","162","167","155","8,668","983","46","48","56","58","45","67","61","83","74","95","96","95","88","71","8,620","886","44","45","42","40","60","55","54","64","78","77","97","67","79","84"
"경기도 광주시 탄벌동(4161055000)","42,580","3,677","182","185","176","214","207","202","249","267","280","323","373","323","340","356","21,546","1,826","89","91","82","108","96","106","122","145","141","163","174","163","163","183","21,034","1,851","93","94","94","106","111","96","127","122","139","160","199","160","177","173"
"경기도 광주시 광남1동(4161056000)","31,278","2,571","163","145","169","159","187","154","168","162","179","227","227","189","216","226","16,077","1,318","85","62","85","72","106","89","78","87","89","110","130","91","119","115","15,201","1,253","78","83","84","87","81","65","90","75","90","117","97","98","97","111"
"경기도 광주시 광남2동(4161057000)","33,172","5,784","260","278","238","302","292","353","399","462","449","530","565","541","550","565","16,412","2,946","131","143","122","142","141","172","200","234","231","272","296","281","282","299","16,760","2,838","129","135","116","160","151","181","199","228","218","258","269","260","268","266"
"경기도 광주시 오포1동(4161058000)","30,463","5,216","255","269","303","353","384","462","408","432","441","449","400","392","322","346","15,483","2,655","125","138","148","188","183","224","200","207","220","248","219","201","160","194","14,980","2,561","130","131","155","165","201","238","208","225","221","201","181","191","162","152"
"경기도 광주시 오포2동(4161059000)","32,116","3,498","146","132","145","157","189","197","200","295","253","341","322","365","352","404","16,293","1,776","72","66","75","82","91","100","114","139","128","186","173","177","179","194","15,823","1,722","74","66","70","75","98","97","86","156","125","155","149","188","173","210"
"경기도 광주시 신현동(4161060000)","35,711","3,451","170","179","220","215","177","230","216","248","273","332","321","332","251","287","17,790","1,726","82","99","103","98","94","127","105","125","133","154","161","159","123","163","17,921","1,725","88","80","117","117","83","103","111","123","140","178","160","173","128","124"
"경기도 광주시 능평동(4161061000)","22,371","2,274","112","79","108","126","123","132","158","164","201","215","240","227","192","197","11,125","1,170","56","36","63","59","62","72","86","84","102","117","126","114","96","97","11,246","1,104","56","43","45","67","61","60","72","80","99","98","114","113","96","100"
